Gene,Cluster
zgc:73260,8
zgc:73351,20
zgc:73373,1
zgc:73404,30
zgc:76934,4
zgc:77084,10
zgc:77130,23
zgc:77139,33
zgc:77176,8
zgc:77192,17
zgc:77326,44
zgc:77371,29
zgc:77372,23
zgc:77429,2
zgc:77542,8
zgc:77734,15
zgc:77758,7
zgc:77820,25
zgc:77943,50
zgc:77946,34
zgc:85630,40
zgc:85675,8
zgc:85677,14
zgc:85680,8
zgc:85935,9
zgc:85981,2
zgc:86614,6
zgc:86637,2
zgc:86667,27
zgc:86730,9
zgc:86748,27
zgc:86802,10
zgc:86841,21
zgc:86843,7
zgc:86898,7
zgc:86924,27
zgc:86940,30
zgc:86943,17
zgc:91903,41
zgc:92024,29
zgc:92351,31
zgc:92612,12
zgc:92641,25
zgc:92704,6
zgc:92706,27
zgc:92716,27
zgc:92724,25
zgc:92726,37
zgc:92757,5
zgc:92772,30
zgc:92848,7
zgc:92850,44
zgc:92859,9
zgc:92872,13
zgc:92909,7
znf346,23
znf576.2,6
